40
84 2637
11 80 612
7 48 437
26 70 971
9 77 917
25 26 407
6 78 55
4 61 501
60 61 552
32 49 776
55 59 942
7 14 367
7 68 721
24 57 864
27 84 751
5 23 609
6 48 48
34 47 720
14 77 614
19 76 549
1 8 850
62 77 316
37 84 403
19 51 985
39 73 611
9 13 851
58 68 30
23 77 804
14 75 890
45 70 557
37 70 885
25 39 183
10 32 522
20 30 322
4 60 154
5 77 439
14 35 81
45 65 561
3 24 940
58 64 634
11 75 689
36 61 235
19 45 1
12 40 410
28 78 451
27 43 752
4 45 19
8 80 500
32 69 824
13 55 633
7 67 49
43 61 675
21 33 301
44 60 804
15 61 12
13 78 264
29 61 656
39 57 42
32 40 68
21 68 898
12 49 951
66 82 953
18 62 81
31 51 473
29 31 628
50 60 587
6 15 265
32 75 709
18 19 148
58 72 557
16 27 695
25 59 837
24 47 144
3 41 697
17 66 599
11 28 596
5 36 801
4 79 970
14 30 96
57 80 626
8 26 956
24 75 497
9 37 301
77 81 257
14 72 653
57 75 313
18 35 522
35 42 661
14 53 707
20 22 590
52 83 911
22 38 10
20 56 896
22 37 344
64 68 836
71 72 524
21 59 931
38 69 101
5 13 585
16 54 431
5 59 658
52 81 281
60 84 620
10 16 155
19 60 330
22 65 219
20 51 751
2 20 131
13 14 542
29 45 199
2 63 757
69 84 498
45 53 696
75 81 58
43 82 755
71 73 349
56 81 723
24 78 629
54 56 363
27 49 430
1 18 572
12 34 274
24 45 793
52 64 468
9 68 619
57 76 629
65 66 344
3 63 902
3 59 730
33 82 281
4 81 686
64 84 740
20 71 562
67 79 306
6 81 895
35 77 244
65 82 878
21 78 998
13 25 376
21 74 420
32 65 197
65 68 133
59 73 270
47 83 893
14 45 544
40 83 25
20 69 595
44 63 619
8 46 7
50 70 958
3 72 402
28 79 579
36 64 584
2 24 195
73 82 399
2 70 203
17 47 824
9 19 95
21 81 458
11 39 906
34 48 376
12 58 144
50 66 646
46 67 291
20 48 450
26 83 894
28 55 535
6 17 680
46 54 892
17 40 911
42 64 452
12 73 90
61 84 397
20 75 722
45 80 335
10 65 293
14 33 748
31 78 930
10 21 264
60 76 107
3 42 240
58 71 666
13 57 686
67 77 825
31 47 213
26 81 437
65 84 380
16 59 37
7 53 532
32 50 838
15 28 295
23 64 260
65 69 982
48 57 942
50 59 551
30 52 433
15 46 188
12 79 439
32 79 465
30 53 432
30 31 702
46 76 918
17 30 522
23 61 99
20 61 640
13 71 858
30 77 744
28 62 740
2 58 140
63 79 361
15 34 847
28 50 733
40 50 27
18 49 885
59 75 558
28 33 593
66 74 674
22 40 938
21 83 982
62 70 206
14 54 129
66 79 278
16 45 467
33 63 111
6 61 572
45 49 370
41 81 896
46 77 760
23 34 809
16 74 362
24 36 192
3 15 512
37 61 280
30 55 67
4 76 963
37 63 272
14 21 277
8 74 60
44 54 13
9 30 769
3 43 421
73 77 212
55 72 502
10 30 800
59 71 450
74 81 412
8 62 393
23 33 124
17 65 703
3 45 376
7 34 331
15 48 832
45 82 654
23 80 150
38 76 943
26 73 226
60 83 520
3 35 192
16 23 338
48 70 682
17 39 906
62 63 882
54 58 194
32 63 538
32 66 949
39 78 509
53 62 810
40 70 226
12 61 569
6 51 175
17 67 348
2 19 990
40 66 388
18 44 850
26 63 143
2 12 838
6 80 263
21 57 536
70 81 962
28 52 966
6 43 264
29 80 645
58 61 150
15 79 918
20 58 147
18 30 445
46 65 496
5 67 20
28 41 637
30 67 834
47 54 702
25 34 543
48 72 69
36 43 248
22 43 81
18 78 18
8 82 757
45 69 892
58 70 597
1 20 679
19 32 419
63 68 945
35 65 669
31 83 807
27 70 147
6 9 164
54 66 997
23



15
74 518
1 2 543
1 3 778
1 4 259
4 5 935
2 6 561
6 7 165
5 8 801
4 9 679
2 10 220
2 11 559
6 12 518
2 13 308
1 14 860
2 15 442
12 16 290
8 17 878
8 18 963
14 19 332
7 20 688
1 21 829
18 22 753
15 23 638
5 24 261
23 25 982
7 26 591
2 27 567
23 28 938
20 29 272
9 30 584
25 31 477
15 32 273
4 33 412
30 34 12
18 35 811
31 36 365
29 37 302
37 38 338
5 39 376
35 40 610
31 41 80
22 42 603
20 43 663
32 44 874
24 45 692
16 46 649
26 47 37
7 48 524
34 49 863
6 50 898
25 51 941
17 52 667
28 53 85
36 54 536
17 55 957
37 56 524
46 57 700
21 58 37
45 59 669
40 60 299
54 61 74
11 62 882
52 63 575
31 64 264
47 65 0
59 66 465
60 67 778
65 68 185
33 69 489
9 70 30
19 71 219
15 72 188
1 73 34
63 74 284
1 39 876
14 26 800
10 64 947
26 30 947
11 24 173
17 46 154
46 48 144
4 62 57
23 49 666
8 43 40
19 20 159
1 53 327
38 63 384
13 21 498
13 68 113
23 54 466
64 74 466
11 40 8
3 61 70
21 22 588
21 59 233
43 61 56
36 47 416
47 74 850
14 47 372
24 69 909
21 73 114
23 44 76
4 41 514
7 55 505
12 45 667
18 56 743
4 69 305
3 13 966
5 35 690
13 51 478
39 50 472
3 55 186
43 70 535
17 35 490
38 39 578
46 65 47
24 66 818
19 68 963
12 51 897
6 8 283
39 67 429
30 35 364
3 46 291
4 38 851
1 46 304
28 52 876
49 58 260
16 41 720
27 51 726
51 58 984
10 32 982
25 64 840
10 58 60
12 54 496
26 29 697
27 55 79
32 70 239
25 53 3
55 56 45
4 23 281
20 24 833
5 17 869
16 19 467
20 57 721
19 33 360
57 63 46
18 36 120
37 63 530
57 65 361
34 56 17
4 67 165
9 60 142
9 23 381
11 48 456
42 63 993
32 52 685
15 70 685
20 38 253
7 17 758
30 60 411
9 36 237
11 65 92
18 61 604
65 69 298
21 72 588
13 58 301
59 73 377
4 43 180
40 53 656
39 48 775
4 48 461
3 22 490
17 67 644
14 29 929
13 47 211
14 51 356
10 23 327
3 70 683
37 74 886
6 63 688
31 38 700
34 48 51
39 63 830
36 60 82
66 69 860
24 60 175
23 50 119
17 20 545
8 33 429
44 45 229
19 53 308
8 71 18
2 65 321
18 51 912
24 55 668
58 67 262
9 21 214
8 10 398
15 25 442
27 29 222
29 59 173
1 32 903
46 47 712
26 34 169
18 25 184
10 40 275
66 74 526
43 69 511
8 62 958
9 66 764
13 39 551
2 49 659
46 52 168
45 62 733
48 52 93
6 68 380
22 27 909
2 42 564
47 72 277
47 69 690
52 61 146
2 38 585
11 20 60
30 41 467
11 28 850
48 60 729
44 56 729
26 59 416
6 41 127
45 68 171
37 67 638
59 65 652
21 42 427
30 72 351
45 46 821
16 71 963
36 37 978
30 53 699
28 38 827
36 73 289
7 31 816
32 64 378
35 47 300
20 32 336
7 35 464
10 66 393
60 64 68
25 69 725
2 32 309
49 71 345
13 65 767
30 39 455
1 11 282
38 40 827
54 64 275
7 29 132
5 46 556
42 49 4
2 55 548
68 71 35
50 70 528
14 64 539
10 24 687
34 58 307
42 44 242
25 45 861
3 56 270
20 74 220
15 60 912
6 36 97
26 31 509
7 73 80
1 51 828
17 18 161
34 52 768
62 73 292
33 47 906
63 69 836
33 50 369
8 58 216
35 54 533
24 74 136
27 28 23
3 58 816
33 42 963
38 67 298
9 14 300
15 30 872
30 31 303
54 56 201
42 71 259
16 42 183
31 33 740
29 65 299
41 48 490
30 38 982
55 69 512
22 43 112
29 30 202
8 12 776
9 46 562
8 35 64
17 37 857
36 44 390
1 48 225
1 9 625
10 37 34
58 70 132
48 57 814
46 64 403
13 42 700
29 31 347
19 39 891
7 59 723
34 46 515
5 47 854
25 38 22
27 30 816
23 74 78
30 58 677
28 67 17
43 57 690
12 13 860
21 61 109
41 73 989
6 39 702
5 29 91
17 49 501
4 14 814
63 68 645
6 30 277
45 65 376
53 67 61
15 28 486
37 42 118
22 26 287
31 51 464
12 23 152
33 66 771
10 19 278
38 42 907
2 44 823
32 68 625
47 58 798
5 69 546
7 74 493
6 45 5
30 61 568
11 60 309
49 62 435
31 72 597
34 59 678
3 10 125
20 58 457
22 53 787
19 31 114
40 73 511
44 71 878
50 60 967
10 46 326
27 45 523
11 34 245
25 52 54
52 67 937
1 44 83
15 35 525
6 65 224
14 34 547
3 45 29
17 63 347
19 51 825
4 47 937
2 5 170
57 71 803
27 47 87
17 50 68
43 74 296
18 30 444
55 63 989
23 26 957
42 45 880
43 49 586
46 54 635
28 61 357
50 51 396
51 71 774
28 39 824
21 24 907
38 49 4
52 64 791
62 69 233
25 47 879
26 41 388
50 53 640
3 68 816
30 71 472
39 41 165
12 38 392
7 30 371
33 73 546
15 33 739
14 61 197
11 68 835
13 27 261
14 27 352
46 55 923
59 72 330
23 40 0
54 59 719
19 67 671
26 67 309
33 72 599
28 72 257
10 35 296
31 57 309
61 71 653
20 72 70
42 59 133
6 49 561
46 59 74
43 66 276
46 72 146
48 49 953
22 67 665
43 56 786
34 55 770
56 73 489
33 34 303
4 73 162
18 54 860
16 44 850
20 70 254
13 56 409
11 42 37
34 64 867
18 24 113
45 47 960
19 65 197
22 45 113
4 37 680
18 67 868
17 73 422
1 16 631
5 9 478
34 38 70
4 8 292
31 40 131
45 63 140
50 73 425
2 43 44
37 39 566
7 70 54
68 72 191
37 41 520
34 66 719
47 60 329
23 64 642
40 52 560
8 39 985
11 71 156
10 30 420
13 16 187
15 26 762
10 54 182
4 18 224
12 49 630
9 16 295
66 67 537
24 68 179
62 70 761
54 57 569
18 40 400
5 6 535
32 54 200
57 61 878
33 54 606
5 65 845
29 67 361
48 59 746
18 19 270
32 74 406
3 60 313
15 62 324
3 17 949
13 35 185
33 35 395
32 38 630
32 49 179
4 70 955
51 64 615
13 29 687
19 54 728
12 32 154
13 22 450
4 68 262
50 58 731
40 65 80
21 49 557
21 60 268
20 64 611
15 54 318
15 24 837
7 21 11
12 17 206
14 21 389
42 62 889
18 50 812
3 33 234
61 63 603
48 69 558
27 42 857
16 52 9
65 67 223
21 55 533
55 67 310
37 40 760
30 52 929
11 56 940
19 58 291
49



